Route,Distance (km),Max Hazard,Category,Path
1,2.1,1,best,"Novo Pinagbuhatan -> Kenneth Talipapa -> Pinagbuhatan Ferry station -> 2 Centennial Street, Pinagbuhatan"
2,3.1,1,available,"Novo Pinagbuhatan -> Pinagbuhatan High School -> Pinagbuhatan Ferry station -> 2 Centennial Street, Pinagbuhatan"
3,3.5,1,available,"Novo Pinagbuhatan -> Kenneth Talipapa -> Pinagbuhatan Barangay Hall -> 2 Centennial Street, Pinagbuhatan"
4,4.8,1,available,"Novo Pinagbuhatan -> Pinagbuhatan High School -> Pinagbuhatan Barangay Hall -> 2 Centennial Street, Pinagbuhatan"
5,5.0,1,available,"Novo Pinagbuhatan -> Kenneth Talipapa -> Sta. Lucia Barangay Hall -> 2 Centennial Street, Pinagbuhatan"
