Route,Distance (km),Max Hazard,Category,Path
1,3.5,2,best,"Novo Pinagbuhatan -> Pinagbuhatan Barangay Hall -> 2 Centennial Street, Pinagbuhatan"
2,3.3,3,available,"Novo Pinagbuhatan -> Pinagbuhatan High School -> 2 Centennial Street, Pinagbuhatan"
3,3.6,3,available,"Novo Pinagbuhatan -> Kenneth Talipapa -> 2 Centennial Street, Pinagbuhatan"
